,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
1,AK,AK: Aleutians East Borough (02013) - 1994+,~,~,~,~,Mortality,5296.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
889,AK,AK: Aleutians West Census Area (02016) - 1994+,~,~,~,~,Mortality,9544.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
1777,AK,AK: Anchorage Municipality (02020) - 1990+,132.8,152.5,142.4,899,Mortality,731867.0,All Races,Female,All Cancer Sites Combined,2012-2016,114.9,131.1,122.8
2665,AK,AK: Bethel Census Area (02050) - 1990+,78.0,172.7,119.3,31,Mortality,42992.0,All Races,Female,All Cancer Sites Combined,2012-2016,49.0,102.3,72.1
3553,AK,AK: Bristol Bay Borough (02060) - 1990+,~,~,~,~,Mortality,2137.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
4441,AK,AK: Denali Borough (02068) - 1990+,~,~,~,~,Mortality,4388.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
5329,AK,AK: Dillingham Census Area (02070) - 1994+,~,~,~,~,Mortality,12065.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
6217,AK,AK: Fairbanks North Star Borough (02090) - 1990+,131.0,170.9,150.1,257,Mortality,231323.0,All Races,Female,All Cancer Sites Combined,2012-2016,97.9,125.5,111.1
7105,AK,AK: Haines Borough (02100) - 1990+,~,~,~,~,Mortality,6425.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
8442,AK,AK: Hoonah-Angoon Census Area (02105) - 2015+,.,.,.,.,Mortality,,All Races,Female,All Cancer Sites Combined,2012-2016,.,.,.
8881,AK,AK: Juneau City and Borough (02110) - 1990+,123.0,184.5,151.5,112,Mortality,79729.0,All Races,Female,All Cancer Sites Combined,2012-2016,115.7,169.0,140.5
9769,AK,AK: Kenai Peninsula Borough (02122) - 1990+,122.7,162.1,141.3,231,Mortality,137456.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.1,191.2,168.1
10657,AK,AK: Ketchikan Gateway Borough (02130) - 1990+,.,.,.,.,Mortality,,All Races,Female,All Cancer Sites Combined,2012-2016,.,.,.
11545,AK,AK: Kodiak Island Borough (02150) - 1990+,88.4,191.1,133.2,33,Mortality,32388.0,All Races,Female,All Cancer Sites Combined,2012-2016,70.1,143.1,101.9
