,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
50,AK,AK: Aleutians East Borough (02013) - 1994+,~,~,~,~,Mortality,11327.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
938,AK,AK: Aleutians West Census Area (02016) - 1994+,~,~,~,~,Mortality,19301.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1826,AK,AK: Anchorage Municipality (02020) - 1990+,165.8,191.5,178.3,932,Mortality,763424.0,All Races,Male,All Cancer Sites Combined,2012-2016,114.4,130.2,122.1
2714,AK,AK: Bethel Census Area (02050) - 1990+,185.6,347.0,258.6,57,Mortality,46371.0,All Races,Male,All Cancer Sites Combined,2012-2016,93.1,159.3,122.9
3602,AK,AK: Bristol Bay Borough (02060) - 1990+,~,~,~,~,Mortality,2553.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
4490,AK,AK: Denali Borough (02068) - 1990+,~,~,~,~,Mortality,5342.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
5378,AK,AK: Dillingham Census Area (02070) - 1994+,80.2,252.0,149.3,+,Mortality,12825.0,All Races,Male,All Cancer Sites Combined,2012-2016,71.3,202.6,124.8
6266,AK,AK: Fairbanks North Star Borough (02090) - 1990+,149.8,195.7,171.7,290,Mortality,269482.0,All Races,Male,All Cancer Sites Combined,2012-2016,95.6,120.7,107.6
7154,AK,AK: Haines Borough (02100) - 1990+,~,~,~,~,Mortality,6314.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
8466,AK,AK: Hoonah-Angoon Census Area (02105) - 2015+,.,.,.,.,Mortality,,All Races,Male,All Cancer Sites Combined,2012-2016,.,.,.
8930,AK,AK: Juneau City and Borough (02110) - 1990+,160.7,241.9,198.5,126,Mortality,82743.0,All Races,Male,All Cancer Sites Combined,2012-2016,126.9,181.3,152.3
9818,AK,AK: Kenai Peninsula Borough (02122) - 1990+,154.3,201.1,176.5,279,Mortality,150642.0,All Races,Male,All Cancer Sites Combined,2012-2016,164.1,208.3,185.2
10706,AK,AK: Ketchikan Gateway Borough (02130) - 1990+,.,.,.,.,Mortality,,All Races,Male,All Cancer Sites Combined,2012-2016,.,.,.
11594,AK,AK: Kodiak Island Borough (02150) - 1990+,150.8,311.8,222.4,46,Mortality,37082.0,All Races,Male,All Cancer Sites Combined,2012-2016,90.8,165.5,124.0
12482,AK,AK: Lake and Peninsula Borough (02164) - 1994+,~,~,~,~,Mortality,4231.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
13370,AK,AK: Matanuska-Susitna Borough (02170) - 1990+,182.2,228.9,204.7,403,Mortality,257000.0,All Races,Male,All Cancer Sites Combined,2012-2016,141.9,172.9,156.8
14258,AK,AK: Nome Census Area (02180) - 1990+,223.4,442.8,321.3,49,Mortality,26058.0,All Races,Male,All Cancer Sites Combined,2012-2016,139.1,248.6,188.0
15146,AK,AK: North Slope Borough (02185) - 1990+,253.8,575.7,395.6,44,Mortality,30273.0,All Races,Male,All Cancer Sites Combined,2012-2016,105.6,195.1,145.3
16034,AK,AK: Northwest Arctic Borough (02188) - 1990+,87.1,262.4,159.5,21,Mortality,20869.0,All Races,Male,All Cancer Sites Combined,2012-2016,62.3,153.8,100.6
17346,AK,AK: Petersburg Census Area (02195) - 2015+,.,.,.,.,Mortality,,All Races,Male,All Cancer Sites Combined,2012-2016,.,.,.
18234,AK,AK: Prince of Wales-Hyder Census Area (02198) - 2015+,.,.,.,.,Mortality,,All Races,Male,All Cancer Sites Combined,2012-2016,.,.,.
19122,AK,AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2014,~,~,~,~,Mortality,6413.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
19586,AK,AK: Sitka City and Borough (02220) - 1990+,130.0,258.8,186.5,40,Mortality,22538.0,All Races,Male,All Cancer Sites Combined,2012-2016,126.8,241.7,177.5
20898,AK,AK: Skagway Municipality (02230) - 2015+,.,.,.,.,Mortality,,All Races,Male,All Cancer Sites Combined,2012-2016,.,.,.
21786,AK,AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2014,~,~,~,~,Mortality,3400.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
22250,AK,AK: Southeast Fairbanks Census Area (02240) - 1990+,129.3,306.3,205.6,29,Mortality,19298.0,All Races,Male,All Cancer Sites Combined,2012-2016,100.6,215.8,150.3
23138,AK,AK: Valdez-Cordova Census Area (02261) - 1990+,142.6,306.5,214.4,44,Mortality,25114.0,All Races,Male,All Cancer Sites Combined,2012-2016,127.3,235.2,175.2
24026,AK,AK: Wade Hampton Census Area (02270) - 1990+,164.0,456.7,288.1,24,Mortality,21124.0,All Races,Male,All Cancer Sites Combined,2012-2016,72.8,169.0,113.6
25338,AK,AK: Wrangell Borough (02275) - 2015+,.,.,.,.,Mortality,,All Races,Male,All Cancer Sites Combined,2012-2016,.,.,.
26226,AK,AK: Wrangell-Petersburg Census Area (02280) - 1990-2014,176.9,447.1,287.6,+,Mortality,6450.0,All Races,Male,All Cancer Sites Combined,2012-2016,226.0,535.1,356.6
26690,AK,AK: Yakutat City and Borough (02282) - 1994+,~,~,~,~,Mortality,1802.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
27578,AK,AK: Yukon-Koyukuk Census Area (02290) - 1990+,245.2,451.6,337.0,50,Mortality,14802.0,All Races,Male,All Cancer Sites Combined,2012-2016,250.7,445.3,337.8
28466,AL,AL: Autauga County (01001),211.4,267.1,238.1,313,Mortality,133847.0,All Races,Male,All Cancer Sites Combined,2012-2016,208.7,261.2,233.8
29354,AL,AL: Baldwin County (01003),193.3,216.4,204.6,1290,Mortality,484459.0,All Races,Male,All Cancer Sites Combined,2012-2016,251.9,281.2,266.3
30242,AL,AL: Barbour County (01005),198.7,273.0,233.7,172,Mortality,70689.0,All Races,Male,All Cancer Sites Combined,2012-2016,208.3,282.5,243.3
31130,AL,AL: Bibb County (01007),214.3,303.0,255.9,151,Mortality,60687.0,All Races,Male,All Cancer Sites Combined,2012-2016,210.7,291.8,248.8
32018,AL,AL: Blount County (01009),179.1,224.4,200.7,333,Mortality,142014.0,All Races,Male,All Cancer Sites Combined,2012-2016,210.0,261.1,234.5
32906,AL,AL: Bullock County (01011),220.8,357.1,283.0,77,Mortality,28655.0,All Races,Male,All Cancer Sites Combined,2012-2016,212.1,335.8,268.7
33794,AL,AL: Butler County (01013),183.4,263.6,220.6,132,Mortality,47290.0,All Races,Male,All Cancer Sites Combined,2012-2016,233.5,331.0,279.1
34682,AL,AL: Calhoun County (01015),225.3,262.3,243.3,743,Mortality,279163.0,All Races,Male,All Cancer Sites Combined,2012-2016,247.4,286.0,266.2
35570,AL,AL: Chambers County (01017),232.6,301.3,265.2,259,Mortality,81372.0,All Races,Male,All Cancer Sites Combined,2012-2016,280.7,359.5,318.3
36458,AL,AL: Cherokee County (01019),230.5,304.5,265.4,233,Mortality,64342.0,All Races,Male,All Cancer Sites Combined,2012-2016,317.1,411.7,362.1
37346,AL,AL: Chilton County (01021),200.1,257.9,227.6,267,Mortality,107673.0,All Races,Male,All Cancer Sites Combined,2012-2016,219.1,279.6,248.0
38234,AL,AL: Choctaw County (01023),135.6,217.1,172.3,80,Mortality,31752.0,All Races,Male,All Cancer Sites Combined,2012-2016,199.8,313.6,252.0
39122,AL,AL: Clarke County (01025),202.1,277.8,237.6,168,Mortality,58758.0,All Races,Male,All Cancer Sites Combined,2012-2016,244.3,332.6,285.9
40010,AL,AL: Clay County (01027),178.2,270.6,220.4,97,Mortality,32894.0,All Races,Male,All Cancer Sites Combined,2012-2016,239.1,359.7,294.9
40898,AL,AL: Cleburne County (01029),181.8,271.7,223.1,109,Mortality,36999.0,All Races,Male,All Cancer Sites Combined,2012-2016,241.9,355.4,294.6
41786,AL,AL: Coffee County (01031),187.2,238.8,211.8,284,Mortality,125934.0,All Races,Male,All Cancer Sites Combined,2012-2016,200.0,253.3,225.5
42674,AL,AL: Colbert County (01033),207.6,255.0,230.3,391,Mortality,130873.0,All Races,Male,All Cancer Sites Combined,2012-2016,269.9,329.9,298.8
43562,AL,AL: Conecuh County (01035),164.4,257.1,206.5,90,Mortality,30675.0,All Races,Male,All Cancer Sites Combined,2012-2016,235.9,360.6,293.4
