Time,MaxTemp,AvgTemp,MinTemp,NormalMaxTemp,NormalMinTemp,RecordMaxTemp,RecordMinTemp,Precipitation,MonthlyCumulativePrecipitation,NormalPrecipitation
01/12/2019,40,35.2,30,48,37,70,9,0,0,3.95
02/12/2019,39,35.7,32,48,37,66,12,0.62,0.62,3.95
03/12/2019,38,33.9,32,47,36,69,9,0.34,0.96,3.95
04/12/2019,40,38.1,34,47,36,74,10,0,0.96,3.95
05/12/2019,43,39.9,38,47,35,70,13,0,0.96,3.95
06/12/2019,50,42.5,36,46,35,71,11,0,0.96,3.95
07/12/2019,38,35.7,32,46,35,75,10,0,0.96,3.95
08/12/2019,44,36.7,28,45,34,65,4,0,0.96,3.95
09/12/2019,56,47.8,41,45,34,66,7,0.17,1.13,3.95
10/12/2019,58,54.2,40,45,34,70,3,1.63,2.76,3.95
11/12/2019,40,35.2,32,44,33,64,6,0.43,3.19,3.95
12/12/2019,36,32.2,28,44,33,68,5,0.03,3.22,3.95
13/12/2019,47,42.6,33,44,33,67,8,0,3.22,3.95
14/12/2019,55,50.4,46,43,32,67,12,2.05,5.27,3.95
15/12/2019,48,43.9,38,43,32,68,6,0.09,5.36,3.95
16/12/2019,37,35.7,34,43,32,63,7,0,5.36,3.95
17/12/2019,36,34.4,33,42,32,62,1,0.5,5.86,3.95
18/12/2019,37,31.8,24,42,31,63,-1,0.48,6.34,3.95
19/12/2019,26,22.2,18,42,31,58,-1,0,6.34,3.95
20/12/2019,34,28,24,42,31,60,-4,0,6.34,3.95
21/12/2019,35,30.1,24,41,30,65,-1,0,6.34,3.95
22/12/2019,47,39.7,31,41,30,71,2,0,6.34,3.95
23/12/2019,57,47.3,38,41,30,66,-1,0,6.34,3.95
24/12/2019,47,42.8,36,41,30,72,6,0,6.34,3.95
25/12/2019,42,37.5,34,40,29,66,-1,0,6.34,3.95
26/12/2019,46,39.1,36,40,29,63,3,0,6.34,3.95
27/12/2019,54,50.3,43,40,29,63,6,0,6.34,3.95
28/12/2019,48,46.4,45,40,29,65,8,0,6.34,3.95
29/12/2019,44,40.5,39,39,28,70,-6,0,6.34,3.95
30/12/2019,43,40.8,39,39,28,65,-13,0.53,6.87,3.95
31/12/2019,39,38.5,38,39,28,63,-7,0.25,7.12,3.95
01/11/2019,65,50.1,43,59,46,84,30,0.2,0.2,4.36
02/11/2019,50,45.6,40,58,45,83,30,0,0.2,4.36
03/11/2019,52,47.8,44,58,45,79,28,0,0.2,4.36
04/11/2019,55,50.3,43,58,45,78,25,0,0.2,4.36
05/11/2019,61,56.7,51,57,45,78,23,0,0.2,4.36
06/11/2019,55,51.4,48,57,44,74,27,0,0.2,4.36
07/11/2019,58,50.6,42,57,44,78,29,0,0.2,4.36
08/11/2019,41,36.9,32,57,44,76,29,0.08,0.28,4.36
09/11/2019,41,36.3,30,56,44,75,24,0,0.28,4.36
10/11/2019,52,46.8,40,56,43,73,25,0,0.28,4.36
11/11/2019,61,54.8,49,56,43,74,24,0,0.28,4.36
12/11/2019,57,42.6,27,55,43,76,26,0,0.28,4.36
13/11/2019,34,29.7,25,55,43,73,24,0.02,0.3,4.36
14/11/2019,45,38.3,29,55,43,72,20,0,0.3,4.36
15/11/2019,51,45.4,38,54,42,80,20,0,0.3,4.36
16/11/2019,42,38,33,54,42,72,17,0,0.3,4.36
17/11/2019,44,38.8,31,53,41,71,19,0,0.3,4.36
18/11/2019,43,40.6,38,53,41,73,18,0.01,0.31,4.36
19/11/2019,48,44.4,41,53,41,72,18,0.62,0.93,4.36
20/11/2019,48,43.7,41,52,40,77,21,0,0.93,4.36
21/11/2019,53,47.1,40,52,40,74,16,0,0.93,4.36
22/11/2019,54,48.3,39,52,40,72,13,0,0.93,4.36
23/11/2019,45,41.2,36,51,40,72,14,0.07,1,4.36
24/11/2019,48,43.9,40,51,39,73,14,0.55,1.55,4.36
25/11/2019,53,47.3,41,50,39,73,19,0.19,1.74,4.36
26/11/2019,59,51.9,44,50,39,67,16,0,1.74,4.36
27/11/2019,58,53.5,46,50,38,72,12,0,1.74,4.36
28/11/2019,53,46.5,39,49,38,70,14,0.02,1.76,4.36
29/11/2019,42,36.6,32,49,38,69,15,0,1.76,4.36
30/11/2019,44,37.4,32,49,37,70,5,0,1.76,4.36
01/10/2019,82,72.7,64,69,55,88,36,0,0,3.85
02/10/2019,93,79.2,71,69,55,93,39,0,0,3.85
03/10/2019,68,58.3,54,68,54,87,38,0.32,0.32,3.85
04/10/2019,65,60.3,52,68,54,88,37,0.12,0.44,3.85
05/10/2019,60,53.6,46,68,54,94,35,0,0.44,3.85
06/10/2019,70,66.1,57,67,53,90,36,0,0.44,3.85
07/10/2019,78,69.8,61,67,53,88,39,0.01,0.45,3.85
08/10/2019,65,61.6,59,67,52,87,37,0.06,0.51,3.85
09/10/2019,61,56.3,53,66,52,86,37,0,0.51,3.85
10/10/2019,72,60.7,53,66,52,91,35,0.54,1.05,3.85
11/10/2019,65,60.1,55,65,51,85,34,0,1.05,3.85
12/10/2019,68,61.2,56,65,51,86,35,0,1.05,3.85
13/10/2019,67,61,57,65,51,87,34,0,1.05,3.85
14/10/2019,74,64.3,59,64,50,84,37,0,1.05,3.85
15/10/2019,65,59.1,54,64,50,84,32,0,1.05,3.85
16/10/2019,67,61.7,55,64,50,87,34,0,1.05,3.85
17/10/2019,59,55.7,53,63,50,90,33,1.71,2.76,3.85
18/10/2019,59,53.8,49,63,49,82,35,0,2.76,3.85
19/10/2019,62,53.7,47,63,49,85,30,0,2.76,3.85
20/10/2019,59,55.4,52,62,49,80,31,0,2.76,3.85
21/10/2019,67,57.8,52,62,48,84,31,0.37,3.13,3.85
22/10/2019,63,58.8,55,62,48,88,30,0,3.13,3.85
23/10/2019,66,61.3,57,61,48,85,32,0.51,3.64,3.85
24/10/2019,67,59.3,53,61,48,79,31,0,3.64,3.85
25/10/2019,67,59.5,54,61,47,79,29,0,3.64,3.85
26/10/2019,63,59.5,55,61,47,78,30,0,3.64,3.85
27/10/2019,70,61.7,56,60,47,82,28,0.03,3.67,3.85
28/10/2019,62,58.4,54,60,47,83,29,1.38,5.05,3.85
29/10/2019,58,55.9,53,60,46,78,31,0,5.05,3.85
30/10/2019,60,58.6,56,59,46,82,31,0.1,5.15,3.85
31/10/2019,67,63.3,59,59,46,81,29,0.3,5.45,3.85
01/09/2019,77,71.6,66,80,66,97,51,0,0,4.23
02/09/2019,78,73.8,70,80,66,102,51,0,0,4.23
03/09/2019,81,74.8,69,80,65,99,50,0.51,0.51,4.23
04/09/2019,89,78.1,70,79,65,97,47,0,0.51,4.23
05/09/2019,73,69.9,66,79,64,94,51,0,0.51,4.23
06/09/2019,69,65.1,61,79,64,97,48,0,0.51,4.23
07/09/2019,77,67.5,58,78,64,101,46,0.03,0.54,4.23
08/09/2019,79,72,67,78,64,97,52,0,0.54,4.23
09/09/2019,75,70.8,67,78,63,94,48,0,0.54,4.23
10/09/2019,77,72.1,68,77,63,97,43,0,0.54,4.23
11/09/2019,91,78.9,71,77,63,99,43,0,0.54,4.23
12/09/2019,83,73.8,64,77,62,94,46,0,0.54,4.23
13/09/2019,72,65,60,76,62,94,46,0.07,0.61,4.23
14/09/2019,75,70.8,63,76,62,93,46,0,0.61,4.23
15/09/2019,84,76.1,71,76,61,92,44,0,0.61,4.23
16/09/2019,76,73.4,71,75,61,93,47,0,0.61,4.23
17/09/2019,77,70,63,75,61,93,45,0,0.61,4.23
18/09/2019,68,63.9,59,75,60,91,44,0,0.61,4.23
19/09/2019,70,62,54,74,60,94,44,0,0.61,4.23
20/09/2019,79,70.3,60,74,59,93,44,0,0.61,4.23
21/09/2019,85,73.5,63,73,59,95,40,0,0.61,4.23
22/09/2019,85,77.2,69,73,59,95,41,0,0.61,4.23
23/09/2019,90,80.8,72,73,58,97,41,0,0.61,4.23
24/09/2019,76,72.2,67,72,58,91,40,0.03,0.64,4.23
25/09/2019,79,70.5,62,72,57,90,40,0,0.64,4.23
26/09/2019,82,71.6,67,71,57,91,42,0,0.64,4.23
27/09/2019,77,68.7,64,71,57,90,41,0,0.64,4.23
28/09/2019,80,73.4,67,70,56,88,41,0,0.64,4.23
29/09/2019,79,74,67,70,56,88,42,0,0.64,4.23
30/09/2019,69,65.4,61,70,55,89,39,0,0.64,4.23
01/08/2019,87,80.2,73,84,69,100,59,0.58,0.58,4.22
02/08/2019,86,78.4,74,84,69,100,58,0,0.58,4.22
03/08/2019,86,79.7,70,84,69,97,55,0,0.58,4.22
04/08/2019,87,78.8,71,84,69,100,56,0.12,0.7,4.22
05/08/2019,81,76.1,71,84,69,101,56,0,0.7,4.22
06/08/2019,82,75.3,72,84,69,97,57,0,0.7,4.22
07/08/2019,84,77.2,71,84,69,104,57,0,0.7,4.22
08/08/2019,91,77.2,71,84,69,99,54,0.62,1.32,4.22
09/08/2019,85,78.3,72,84,69,103,57,0.1,1.42,4.22
10/08/2019,82,76.1,70,83,69,98,55,0,1.42,4.22
11/08/2019,82,75.6,68,83,69,102,56,0,1.42,4.22
12/08/2019,88,80.2,73,83,68,97,55,0,1.42,4.22
13/08/2019,80,77.8,76,83,68,99,55,0.01,1.43,4.22
14/08/2019,82,75.9,72,83,68,99,54,0.01,1.44,4.22
15/08/2019,84,75.7,72,83,68,97,54,0,1.44,4.22
