Train,Paris,Sens Arrive,Sens Depart,Joigny Arrive,Joigny Depart,Laroche Migennes Arrive,Laroche Migennes Depart,St Florentin Vergigny Arrive,St Florentin Vergigny Depart,Tonnerre Arrive,Tonnerre Depart,Nuits Sous Ravieres Arrive,Nuits Sous Ravieres Depart,Montbard Arrive,Montbard Depart,Les Laumes Alesia Arrive,Les Laumes Alesia Depart,Le Creusot - Montceau Arrive,Le Creusot - Montceau Depart,Dijon Ville Arrive,Dijon Ville Depart,Beaune Arrive,Beaune Depart,Chagny Arrive,Chagny Depart,Chalon Sur Saone Arrive,Chalon Sur Saone Depart,Tournus Arrive,Tournus Depart,Macon Ville Arrive,Macon Ville Depart,Belleville Sur Saone Arrive,Belleville Sur Saone Depart,Villefranche Sur Saone Arrive,Villefranche Sur Saone Depart,St Germain Au Mont D'or Arrive,St Germain Au Mont D'or Depart,Lyon
Distances,0,110,110,135,135,160,160,170,170,190,190,224,224,240,240,258,258,274,274,310,310,351,351,362,362,381,381,410,410,437,437,462,462,477,477,491,491,510
Old,11:00,,,,,14:10,14:20,,,14:55,15:05,,,,,,,,,17:27,18:03,,,19:05,19:12,19:35,19:40,,,20:32,20:40,,,,,,,22:10
TGV,05:50,,,,,,,,,,,,,,,,,07:06,07:09,,,,,,,,,,,,,,,,,,,07:56
TGV,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56
TER,07:36,08:32,08:33,08:49,08:50,08:58,08:59,09:11,09:12,09:25,09:26,09:39,09:40,09:50,09:51,09:58,09:59,,,10:31,10:43,10:59,11:01,11:12,11:13,11:22,11:24,11:36,11:38,11:52,11:54,12:06,12:07,12:16,12:19,12:26,12:27,12:44
TGV,07:52,,,,,,,,,,,,,,,,,09:13,09:16,,,,,,,,,,,,,,,,,,,09:56
TGV,08:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:56
TGV,09:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56
TGV,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:56
TGV,11:52,,,,,,,,,,,,,,,,,13:13,13:16,,,,,,,,,,,,,,,,,,,13:56
TGV,12:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56
TER,13:33,14:28,14:29,14:48,14:49,14:56,14:57,15:08,15:09,15:22,15:23,15:37,15:38,15:48,15:49,15:57,15:58,,,16:27,16:39,16:58,17:00,17:08,17:09,17:19,17:21,17:34,17:36,17:55,17:57,18:09,18:10,18:19,18:22,18:29,18:30,18:52
TGV,13:52,,,,,,,,,,,,,,,,,15:13,15:16,,,,,,,,,,,,,,,,,,,15:56
TGV,14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:56
